"CountryCode","SeriesCode","DESCRIPTION",
"ALB","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2020 are based on reports provided by the country. Short-term debt data for 2020 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).",
"ALB","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ALB","IT.CEL.SETS.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","IT.CEL.SETS","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","SP.POP.GROW","Data source: United Nations World Population Prospects",
"AND","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AND","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders. Since May 2009 a new methodology has been applied and therefore, the information is not comparable to previous years.",
"AND","SP.DYN.TFRT.IN","Data source: Eurostat",
"AND","SP.POP.GROW","Data source: United Nations World Population Prospects",
"AND","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AND","SP.DYN.CBRT.IN","Data source: Eurostat",
"AND","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AND","SM.POP.TOTL","Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. ",
"AND","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AND","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"AND","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AND","SP.DYN.CDRT.IN","Data source: Eurostat",
"AND","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AND","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARE","SM.POP.TOTL","Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. ",
"ARE","MS.MIL.XPND.CN","1997-2014 SIPRI estimates.",
"ARE","IT.NET.BBND","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ARE","CM.MKT.TRNR","Method of calculation: Total domestic value of share trading of Abu Dhabi Serurities Market and Dubai Financial Market divided by total domestic market capitalization of the two exchanges.",
"ARE","BX.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"ARE","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ARE","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARE","IT.CEL.SETS","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ARE","MS.MIL.XPND.CD","1997-2014 SIPRI estimates.",
"ARE","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ARE","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ARE","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"ARE","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders.",
"ARE","IT.MLT.MAIN.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ARE","MS.MIL.XPND.ZS","1997-2014 SIPRI estimates.",
"ARE","IT.MLT.MAIN","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","ST.INT.XPND.CD","Compiled from data reported by the Central Bank. Note 2019: the source of the data changed and therefore, are not comparable with those of previous years. New sources: The Federal Authority for Identity and Citizenship, Economic Survey, Household income and expenditure survey, Mirror statistics for GCC data and Tourism surveys done by local tourism authorities. Source: Central Bank of the U.A.E.",
"ARE","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ARE","IT.NET.BBND.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ARE","IT.NET.USER.ZS","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","ST.INT.DPRT","Includes overnight visitors (tourists) and same-day visitors (excursionists). Note 2019: the source of the data changed and therefore, are not comparable with those of previous years. New sources: The Federal Authority for Identity and Citizenship, Economic Survey, Household income and expenditure survey, Mirror statistics for GCC data and Tourism surveys done by local tourism authorities.",
"ARE","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARE","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ARE","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ARE","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ARE","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ARE","ST.INT.RCPT.CD","Compiled from data reported by the Central Bank. Source: Central Bank of the U.A.E. 1995-1999: hotel revenues. Including domestic tourism and nationals residing abroad.",
"ARE","IT.CEL.SETS.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARG","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. Starting 2004, as a result of the importance of the “Survey on International Tourism”, the estimates of the series of the “Travel” item of the Balance of Payments were modified. For this reason, the data are not rigorously comparable with those of previous years.",
"ARG","IS.RRS.PASG.KM","Source: OECD",
"ARG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ARG","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. Starting 2004, as a result of the importance of the “Survey on International Tourism”, the estimates of the series of the “Travel” item of the Balance of Payments were modified. For this reason, the data are not rigorously comparable with those of previous years.",
"ARG","IT.NET.USER.ZS","Comisión Nacional de Comunicaciones.",
"ARG","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ARG","SP.POP.TOTL","Data source: National Institute of Statistics and Censuses, United Nations World Population Prospects",
"ARG","ST.INT.DPRT","Includes overnight visitors (tourists) and same-day visitors (excursionists). Change of methodology from 2016. The data from 2010 to 2015 are the product of a statistical splice.  Data prior to 2010 are not comparable with those of the 2010-2019 series.",
"ARG","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ARG","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARG","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARG","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARG","IT.NET.BBND","Comisión Nacional de Comunicaciones.",
"ARG","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ARG","SM.POP.TOTL","Estimates are derived from data on foreign-born population. ",
"ARG","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ARG","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ARG","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ARG","NY.GNP.PCAP.PP.KD","Estimates are based on regression.",
"ARG","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2020 are based on reports provided by the country. Long-term private nonguaranteed debt data before 2008 are World Bank staff estimates. Long term foreign direct investment debt is reported according to the BPM5 definition for entities with foreign ownership of 10 percent or more of the ordinary shares or voting power and excludes debt of fellow companies. Short-term debt data for 2020 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).",
"ARG","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"ARG","NY.GNP.MKTP.PP.KD","Estimates are based on regression.",
"ARG","IT.CEL.SETS","Comisión Nacional de Comunicaciones.",
"ARG","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ARG","IT.CEL.SETS.P2","Comisión Nacional de Comunicaciones.",
"ARG","DT.DOD.DPNG.CD","Provincial debt for long-term private nonguaranteed debt data are World Bank staff estimates.",
"ARG","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARG","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"ARG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ARG","ST.INT.ARVL","Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders. Change of methodology from 2016. The data from 2010 to 2015 are the product of a statistical splice.  Data prior to 2010 are not comparable with those of the 2010-2019 series.",
"ARG","IS.RRS.GOOD.MT.K6","Source: OECD",
"ARG","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARG","IT.MLT.MAIN.P2","Comisión Nacional de Comunicaciones.",
"ARG","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"ARG","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"ARG","SP.POP.GROW","Data source: National Institute of Statistics and Censuses, United Nations World Population Prospects",
"ARG","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"ARG","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"ARG","IT.MLT.MAIN","Comisión Nacional de Comunicaciones.",
"ARG","NE.CON.PRVT.PP.CD","Estimates are based on regression.",
"ARG","NE.CON.PRVT.PP.KD","Estimates are based on regression.",
"ARG","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARG","IT.NET.BBND.P2","Comisión Nacional de Comunicaciones.",
"ARG","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ARM","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ARM","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ARM","IT.NET.BBND","Ministry of Transport and Communications.",
"ARM","IT.MLT.MAIN.P2","Ministry of Transport and Communications.",
"ARM","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ARM","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARM","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ARM","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ARM","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARM","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","IT.NET.BBND.P2","Ministry of Transport and Communications.",
"ARM","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ARM","ST.INT.ARVL","Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders.",
"ARM","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ARM","IT.CEL.SETS","Ministry of Transport and Communications.",
"ARM","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2020 are based on reports provided by the country. Short-term debt data for 2020 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).",
"ARM","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","IT.MLT.MAIN","Ministry of Transport and Communications.",
"ARM","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ARM","IT.NET.USER.ZS","Ministry of Transport and Communications.",
"ARM","IS.RRS.GOOD.MT.K6","Source: OECD",
"ARM","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ARM","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ARM","IS.RRS.PASG.KM","Source: OECD",
"ARM","SM.POP.TOTL","Estimates are derived from data on foreign-born population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. ",
"ARM","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ARM","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ARM","IT.CEL.SETS.P2","Ministry of Transport and Communications.",
"ARM","ST.INT.DPRT","Includes overnight visitors (tourists) only.",
"ASM","SM.POP.TOTL","Estimates are derived from data on foreign-born population. The estimates for American Samoa reflect, to the extent possible, all persons born outside its territory.",
"ASM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ASM","ST.INT.TVLX.CD","Compiled from data reported by the country.",
"ASM","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ASM","IT.MLT.MAIN.P2","American Samoa Telecommunications Authority.",
"ASM","SP.DYN.CDRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ASM","IT.NET.USER.ZS","American Samoa Telecommunications Authority.",
"ASM","IT.CEL.SETS.P2","American Samoa Telecommunications Authority.",
"ASM","IT.NET.BBND","American Samoa Telecommunications Authority.",
"ASM","IT.NET.BBND.P2","American Samoa Telecommunications Authority.",
"ASM","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"ASM","SP.DYN.CBRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ASM","IT.MLT.MAIN","American Samoa Telecommunications Authority.",
"ASM","ST.INT.TVLR.CD","Compiled from data reported by the country. Source: South Pacific Tourism Organisation - Regional Tourism Resource Centre.",
"ASM","IT.CEL.SETS","American Samoa Telecommunications Authority.",
"ASM","ST.INT.ARVL","Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders.",
"ATG","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","SP.DYN.CDRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ATG","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders. Excluding yacht passenger arrivals.",
"ATG","IT.CEL.SETS.P2","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ATG","IT.NET.USER.ZS","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ATG","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ATG","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
